Ball Handling,Footwork,Attacking,Defending,Shooting,position
82,96,55,54,92,Goal Shooter
95,80,52,57,97,Goal Shooter
86,94,50,50,99,Goal Shooter
84,90,55,51,99,Goal Shooter
83,88,56,60,95,Goal Shooter
91,90,52,57,98,Goal Shooter
93,89,52,55,92,Goal Shooter
88,81,55,56,99,Goal Shooter
83,94,57,53,94,Goal Shooter
91,94,59,56,97,Goal Shooter
94,88,51,54,96,Goal Shooter
94,87,60,56,98,Goal Shooter
86,98,51,52,99,Goal Shooter
100,91,51,60,95,Goal Shooter
94,90,57,56,96,Goal Shooter
94,98,51,52,90,Goal Shooter
80,82,55,51,95,Goal Shooter
95,81,54,60,100,Goal Shooter
99,83,50,54,90,Goal Shooter
97,93,58,51,93,Goal Shooter
100,80,56,58,98,Goal Shooter
82,86,57,51,96,Goal Shooter
82,87,51,53,98,Goal Shooter
84,96,56,53,99,Goal Shooter
84,99,58,51,92,Goal Shooter
85,85,54,58,90,Goal Shooter
89,92,57,56,100,Goal Shooter
87,82,51,54,92,Goal Shooter
98,85,52,50,98,Goal Shooter
87,100,54,53,90,Goal Shooter
97,83,54,59,93,Goal Shooter
92,90,60,55,96,Goal Shooter
87,86,53,57,99,Goal Shooter
82,93,57,51,96,Goal Shooter
82,91,53,54,99,Goal Shooter
91,92,57,59,93,Goal Shooter
97,86,55,52,97,Goal Shooter
99,97,55,56,93,Goal Shooter
93,100,57,52,98,Goal Shooter
95,84,53,58,98,Goal Shooter
90,93,57,59,95,Goal Shooter
98,97,56,54,95,Goal Shooter
92,80,50,52,94,Goal Shooter
93,90,56,55,94,Goal Shooter
80,83,57,59,92,Goal Shooter
97,96,56,53,97,Goal Shooter
94,86,54,59,95,Goal Shooter
84,90,53,53,100,Goal Shooter
94,92,60,55,94,Goal Shooter
88,84,58,56,95,Goal Shooter
81,84,51,58,95,Goal Shooter
99,91,54,54,99,Goal Shooter
93,98,57,51,90,Goal Shooter
92,96,59,57,95,Goal Shooter
80,88,55,50,95,Goal Shooter
97,100,51,55,94,Goal Shooter
96,87,56,60,94,Goal Shooter
86,92,52,50,95,Goal Shooter
92,84,56,54,95,Goal Shooter
89,91,54,60,100,Goal Shooter
90,97,54,51,95,Goal Shooter
88,85,57,56,98,Goal Shooter
82,89,60,55,100,Goal Shooter
93,100,54,50,96,Goal Shooter
89,99,51,60,92,Goal Shooter
94,99,57,60,96,Goal Shooter
92,97,59,55,100,Goal Shooter
89,86,54,51,100,Goal Shooter
98,87,58,53,98,Goal Shooter
80,88,55,54,98,Goal Shooter
100,80,58,55,97,Goal Shooter
83,90,59,58,92,Goal Shooter
98,83,57,56,93,Goal Shooter
92,99,53,53,99,Goal Shooter
90,83,55,52,91,Goal Shooter
86,100,60,50,93,Goal Shooter
84,96,52,58,100,Goal Shooter
86,86,50,58,94,Goal Shooter
95,85,59,59,92,Goal Shooter
86,90,59,52,97,Goal Shooter
83,84,55,60,96,Goal Shooter
93,94,55,55,98,Goal Shooter
95,81,55,51,95,Goal Shooter
85,84,52,51,96,Goal Shooter
80,81,58,50,99,Goal Shooter
86,100,53,51,92,Goal Shooter
100,96,56,51,100,Goal Shooter
90,99,50,56,90,Goal Shooter
91,90,60,56,98,Goal Shooter
95,90,55,54,99,Goal Shooter
81,98,54,54,99,Goal Shooter
100,81,50,52,96,Goal Shooter
80,92,58,60,97,Goal Shooter
